Centre_X,Centre_Y,Roundness_Min
-2.2070,141.4790,96.2331
144.0290,5.0738,91.6577
-15.9619,5.1267,95.8258
-143.9550,-2.6255,95.8314
11.4602,-10.4671,95.9362
2.2771,-139.0315,95.3309
