Centre_X,Centre_Y,Diameter_Max
-2.1724,141.4525,87.9306
144.0670,5.0522,94.9998
-15.9237,5.0994,86.3933
-143.9170,-2.6561,87.9006
11.4989,-10.4926,86.2665
2.3196,-139.0580,86.4283
