Centre_X,Centre_Y,Diameter_Stdev
-2.1724,141.4525,0.9430
144.0670,5.0522,1.9580
-15.9237,5.0994,0.4620
-143.9170,-2.6561,0.5100
11.4989,-10.4926,0.4750
2.3196,-139.0580,0.4940
