Centre_X,Centre_Y,Diameter_Avg
-2.1724,141.4525,85.2920
144.0670,5.0522,86.7040
-15.9237,5.0994,85.1060
-143.9170,-2.6561,86.4490
11.4989,-10.4926,84.7970
2.3196,-139.0580,85.1590
