Centre_X,Centre_Y,Roundness_Min
-6.3147,125.2960,75.3829
6.6079,12.3295,65.8710
-135.6720,-3.7964,78.9624
-6.3282,-3.8080,72.9177
135.9495,-3.8228,34.8578
6.5912,-132.9155,68.2854
