BumpId,VoidId,Bump_X,Bump_Y,X(um),Y(um),Diam_X,Diam_Y,Diameter(%),Area(um2),Area(%)
936,1,-7.4018,-3.0029,-0.0024,0.0037,5.4386,5.4386,24.7758,23.2312,6.1384
938,1,-5.2390,-3.0260,0.0015,0.0002,3.2796,3.2796,16.0231,8.4477,2.5674
939,1,-6.3538,-3.0315,0.0000,0.0083,3.0237,3.0237,12.5695,7.1805,1.5799
939,2,-6.3538,-3.0315,-0.0014,0.0008,2.8402,2.8402,11.8070,6.3358,1.3941
939,3,-6.3538,-3.0315,0.0029,-0.0052,3.5927,3.5927,14.9348,10.1372,2.2305
977,1,-7.4397,-3.0418,-0.0006,-0.0011,4.2761,4.2761,21.0270,14.3612,4.4213
980,1,-6.3148,-3.0693,-0.0007,0.0009,6.7611,6.7611,28.4521,35.9026,8.0952
981,1,-5.2775,-3.0648,0.0040,0.0042,3.5927,3.5927,16.7542,10.1373,2.8070
1000,1,-7.0147,-3.0939,-0.0001,-0.0006,3.3606,3.3606,15.0349,8.8700,2.2605
1002,1,-6.6150,-3.0927,-0.0021,-0.0009,1.6398,1.6398,7.0360,2.1119,0.4951
1003,1,-6.4140,-3.0926,-0.0010,0.0038,5.3388,5.3388,21.8611,22.3864,4.7791
1004,1,-5.7790,-3.0891,0.0009,0.0015,6.7212,6.7212,29.5343,35.4804,8.7227
1005,1,-5.5790,-3.0885,-0.0012,0.0089,2.5404,2.5404,11.3653,5.0686,1.2917
1005,2,-5.5790,-3.0885,0.0014,0.0030,5.7744,5.7744,25.8338,26.1879,6.6739
1006,1,-5.3785,-3.0875,0.0004,0.0003,5.7744,5.7744,24.6183,26.1879,6.0606
1007,1,-5.1773,-3.0864,0.0010,0.0065,5.0808,5.0808,22.7429,20.2744,5.1724
1040,1,-7.5267,-3.1021,0.0015,0.0034,3.5926,3.5926,16.1339,10.1372,2.6030
1042,1,-7.0531,-3.1336,-0.0056,0.0036,2.0742,2.0742,9.2648,3.3791,0.8584
1042,2,-7.0531,-3.1336,0.0039,0.0027,2.8402,2.8402,12.6864,6.3358,1.6094
1043,1,-6.9754,-3.1338,-0.0022,0.0015,4.2761,4.2761,18.9882,14.3611,3.6055
1044,1,-6.8535,-3.1338,0.0032,-0.0013,3.1966,3.1966,15.4497,8.0253,2.3869
1045,1,-6.7752,-3.1331,-0.0029,0.0014,4.7526,4.7526,21.7479,17.7401,4.7297
1046,1,-6.6525,-3.1324,-0.0014,0.0006,6.2657,6.2657,26.9244,30.8340,7.2492
1047,1,-6.5753,-3.1327,-0.0001,0.0028,3.1966,3.1966,13.1967,8.0253,1.7415
1048,1,-6.4538,-3.1323,0.0004,0.0018,5.9124,5.9124,23.7537,27.4551,5.6424
1049,1,-6.3745,-3.1315,-0.0012,0.0015,3.3606,3.3606,12.7688,8.8700,1.6304
