Centre_X,Centre_Y,LargestVoidDiameterPercent
-6.3228,125.2755,0.0000
6.6025,12.3091,0.0000
-135.6775,-3.8170,0.0000
-6.3341,-3.8281,0.0000
135.9460,-3.8427,0.0000
6.5888,-132.9350,0.0000
