Centre_X,Centre_Y,LargestVoidPercent
-2.1762,141.4400,0.0000
144.0660,5.0427,0.0000
-15.9250,5.0874,0.0000
-143.9180,-2.6706,0.0000
11.4977,-10.5038,0.0000
2.3208,-139.0695,0.0000
