Centre_X,Centre_Y,Roundness_Min
-2.1762,141.4400,95.9802
144.0660,5.0427,94.2977
-15.9250,5.0874,95.1909
-143.9180,-2.6706,94.7614
11.4977,-10.5038,95.3044
2.3208,-139.0695,94.7226
