Centre_X,Centre_Y,Diameter_Stdev
-6.3223,125.2450,0.2260
6.6044,12.2785,0.3640
-135.6745,-3.8512,0.2390
-6.3316,-3.8587,0.2570
135.9480,-3.8689,0.2500
6.5937,-132.9660,0.3050
