Centre_X,Centre_Y,Diameter_Min
-6.4083,125.2220,15.6343
-6.4161,12.2568,16.6593
-135.7585,12.2653,22.9022
6.5179,-3.8822,22.9577
135.8655,-3.8956,11.5065
6.5092,-132.9905,22.8465
