Centre_X,Centre_Y,DieId
-2.2098745,141.477,165
144.0295,5.07425,2444
-15.96205,5.123925,2479
-143.9555,-2.631245,2639
11.4601,-10.468795,2737
2.2796365,-139.0345,4918
