Centre_X,Centre_Y,Diameter_Avg
-2.2109,141.4820,85.2490
144.0290,5.0809,86.5750
-15.9620,5.1289,85.0700
-143.9555,-2.6275,86.3900
11.4601,-10.4641,84.8370
2.2801,-139.0290,82.3510
