Centre_X,Centre_Y,Diameter_Min
-2.2109,141.4820,83.3980
144.0290,5.0809,84.0839
-15.9620,5.1289,83.8559
-143.9555,-2.6275,85.1957
11.4601,-10.4641,83.5152
2.2801,-139.0290,44.8047
