Test sample,DieID,ID,X position,Y position,Diameter (um),% Roundness,Area,% Overall Void,% Largest Void,Result
D26-05,60,705,-6.3807,125.8210,19.9486,93.0223,312.5480,0.0000,0.0000,Pass
D26-05,60,706,-6.3331,125.8210,19.7804,94.1259,307.2970,0.0000,0.0000,Pass
D26-05,60,707,-6.2224,125.8220,20.1866,94.1544,320.0490,0.0000,0.0000,Pass
D26-05,60,708,-6.0424,125.8220,20.0362,92.6927,315.2980,0.0000,0.0000,Pass
D26-05,60,709,-5.4135,125.8240,20.2181,94.8619,321.0490,0.0000,0.0000,Pass
D26-05,60,731,-7.2326,125.8130,19.7401,92.8747,306.0470,0.0000,0.0000,Pass
D26-05,60,732,-7.1549,125.8130,20.1550,95.0139,319.0490,0.0000,0.0000,Pass
D26-05,60,786,-6.8811,125.7990,19.5375,95.4415,299.7960,0.0000,0.0000,Pass
D26-05,60,787,-6.7688,125.7990,19.6755,97.1973,304.0470,0.0000,0.0000,Pass
D26-05,60,788,-5.6827,125.8030,20.1787,96.7469,319.7990,0.0000,0.0000,Pass
D26-05,60,789,-5.5706,125.8030,20.3124,92.8137,324.0500,0.0000,0.0000,Pass
D26-05,60,798,-6.0812,125.7830,20.8461,94.8177,341.3020,0.0000,0.0000,Pass
D26-05,60,799,-6.0033,125.7830,20.5771,93.5673,332.5510,0.0000,0.0000,Pass
D26-05,60,832,-7.1937,125.7740,20.0124,93.3060,314.5480,0.0000,0.0000,Pass
D26-05,60,834,-7.0676,125.7510,20.0759,89.7848,316.5490,0.0000,0.0000,Pass
D26-05,60,835,-6.3331,125.7430,20.7773,94.6722,339.0520,0.0000,0.0000,Pass
D26-05,60,848,-6.6119,125.7420,20.2339,97.2305,321.5490,0.0000,0.0000,Pass
D26-05,60,849,-6.5015,125.7420,21.0739,94.2191,348.8040,0.0000,0.0000,Pass
D26-05,60,850,-6.4536,125.7420,21.4037,94.5989,359.8050,0.0000,0.0000,Pass
D26-05,60,851,-6.3811,125.7420,21.3665,92.9093,358.5550,0.0000,0.0000,Pass
D26-05,60,852,-6.2224,125.7430,21.4334,96.7071,360.8050,0.0000,0.0000,Pass
D26-05,60,853,-6.0419,125.7440,21.2544,92.7271,354.8040,0.0000,0.0000,Pass
D26-05,60,854,-5.4133,125.7460,20.5461,89.0969,331.5510,0.0000,0.0000,Pass
D26-05,60,926,-5.9419,125.7230,20.4918,97.4907,329.8010,0.0000,0.0000,Pass
D26-05,60,935,-7.1064,125.7120,20.1550,94.5317,319.0490,0.0000,0.0000,Pass
D26-05,60,936,-7.0287,125.7120,19.9007,97.1622,311.0480,0.0000,0.0000,Pass
D26-05,60,939,-5.9805,125.6830,21.6991,93.9502,369.8070,0.0000,0.0000,Pass
D26-05,60,940,-5.9026,125.6830,20.8537,95.8651,341.5520,0.0000,0.0000,Pass
D26-05,60,977,-7.0675,125.6730,20.0283,97.1102,315.0480,0.0000,0.0000,Pass
D26-05,60,978,-7.1933,125.6520,19.7723,93.1698,307.0470,0.0000,0.0000,Pass
D26-05,60,980,-5.9414,125.6440,21.6624,94.6982,368.5570,0.0000,0.0000,Pass
D26-05,60,1000,-6.6418,125.6190,21.6330,94.0671,367.5560,0.0000,0.0000,Pass
D26-05,60,1001,-6.4418,125.6200,21.0286,97.8607,347.3030,0.0000,0.0000,Pass
D26-05,60,1002,-6.2417,125.6220,21.5076,96.1214,363.3060,0.0000,0.0000,Pass
D26-05,60,1003,-6.0416,125.6220,22.2354,97.0755,388.3100,0.0000,0.0000,Pass
D26-05,60,1039,-7.2319,125.6120,19.5700,95.4710,300.7960,0.0000,0.0000,Pass
D26-05,60,1040,-7.1542,125.6120,19.9407,94.9620,312.2980,0.0000,0.0000,Pass
D26-05,60,1042,-6.6804,125.5810,21.6991,94.4646,369.8070,0.0000,0.0000,Pass
D26-05,60,1043,-6.6027,125.5810,21.8454,92.3043,374.8080,0.0000,0.0000,Pass
D26-05,60,1044,-6.4807,125.5810,21.1418,95.1593,351.0540,0.0000,0.0000,Pass
D26-05,60,1045,-6.4025,125.5810,21.4631,92.9136,361.8060,0.0000,0.0000,Pass
D26-05,60,1046,-6.2808,125.5820,21.3963,90.4188,359.5550,0.0000,0.0000,Pass
D26-05,60,1047,-6.2024,125.5830,21.4705,96.9133,362.0560,0.0000,0.0000,Pass
D26-05,60,1048,-6.0803,125.5830,21.6183,95.0788,367.0560,0.0000,0.0000,Pass
D26-05,60,1049,-6.0025,125.5830,22.4633,92.5856,396.3110,0.0000,0.0000,Pass
D26-05,60,1050,-5.4445,125.5850,20.6466,97.0628,334.8010,0.0000,0.0000,Pass
D26-05,60,1142,-6.6416,125.5420,21.9761,96.3841,379.3080,0.0000,0.0000,Pass
D26-05,60,1143,-6.0411,125.5440,21.9471,96.3741,378.3080,0.0000,0.0000,Pass
D26-05,60,1144,-5.4054,125.5460,20.7543,92.7505,338.3020,0.0000,0.0000,Pass
D26-05,60,1157,-6.4415,125.5430,21.1944,92.1351,352.8040,0.0000,0.0000,Pass
D26-05,60,1158,-6.2414,125.5440,21.0286,95.0601,347.3030,0.0000,0.0000,Pass
D26-05,60,1193,-7.1925,125.5360,20.1550,95.8334,319.0490,0.0000,0.0000,Pass
D26-05,60,1196,-6.5414,125.5200,21.1041,98.2324,349.8040,0.0000,0.0000,Pass
D26-05,60,1197,-6.3415,125.5210,20.5384,95.5895,331.3010,0.0000,0.0000,Pass
D26-05,60,1198,-6.1413,125.5220,21.3068,96.8060,356.5550,0.0000,0.0000,Pass
D26-05,60,1199,-5.9412,125.5220,22.0773,94.5166,382.8090,0.0000,0.0000,Pass
D26-05,60,1233,-6.8613,125.5090,19.6755,96.4399,304.0470,0.0000,0.0000,Pass
D26-05,60,1234,-5.6633,125.5130,20.0680,90.6999,316.2990,0.0000,0.0000,Pass
D26-05,60,1240,-7.2316,125.4970,19.8125,93.2522,308.2970,0.0000,0.0000,Pass
D26-05,60,1241,-7.1537,125.4970,19.7401,90.0143,306.0470,0.0000,0.0000,Pass
D26-05,60,1259,-6.5803,125.4810,20.8155,95.3651,340.3020,0.0000,0.0000,Pass
D26-05,60,1260,-6.5025,125.4810,20.8614,96.2096,341.8020,0.0000,0.0000,Pass
D26-05,60,1261,-6.3801,125.4810,20.4841,94.8204,329.5510,0.0000,0.0000,Pass
D26-05,60,1262,-6.3023,125.4820,20.2417,91.6281,321.7990,0.0000,0.0000,Pass
D26-05,60,1263,-6.1802,125.4830,20.6003,98.2593,333.3010,0.0000,0.0000,Pass
D26-05,60,1264,-6.1019,125.4830,21.3217,93.9170,357.0550,0.0000,0.0000,Pass
D26-05,60,1265,-5.9798,125.4830,21.8235,98.8527,374.0570,0.0000,0.0000,Pass
D26-05,60,1266,-5.9021,125.4830,21.8526,98.0199,375.0580,0.0000,0.0000,Pass
D26-05,60,1334,-6.9662,125.4500,19.5781,94.7928,301.0460,0.0000,0.0000,Pass
D26-05,60,1335,-6.7562,125.4510,21.1343,91.2037,350.8040,0.0000,0.0000,Pass
D26-05,60,1336,-5.7682,125.4540,20.6774,95.9760,335.8020,0.0000,0.0000,Pass
D26-05,60,1337,-5.5582,125.4550,19.4640,93.4980,297.5460,0.0000,0.0000,Pass
D26-05,60,1343,-6.5412,125.4420,20.7312,92.9831,337.5520,0.0000,0.0000,Pass
D26-05,60,1344,-6.3411,125.4430,19.5293,97.2407,299.5460,0.0000,0.0000,Pass
D26-05,60,1345,-6.1411,125.4440,20.8079,94.7041,340.0520,0.0000,0.0000,Pass
D26-05,60,1346,-5.9410,125.4440,22.0773,94.2920,382.8090,0.0000,0.0000,Pass
D26-05,60,1388,-7.1926,125.4260,19.9646,93.3608,313.0480,0.0000,0.0000,Pass
D26-05,60,1390,-6.6413,125.4200,21.0815,94.1092,349.0540,0.0000,0.0000,Pass
D26-05,60,1391,-6.4409,125.4200,20.1945,90.6176,320.2990,0.0000,0.0000,Pass
D26-05,60,1392,-6.2412,125.4210,20.7389,91.4949,337.8020,0.0000,0.0000,Pass
D26-05,60,1393,-6.0408,125.4220,21.5371,96.2779,364.3060,0.0000,0.0000,Pass
D26-05,60,1435,-7.2311,125.3870,20.1471,92.5482,318.7990,0.0000,0.0000,Pass
D26-05,60,1436,-7.1535,125.3870,19.8366,92.9698,309.0470,0.0000,0.0000,Pass
D26-05,60,1441,-6.6802,125.3810,21.2469,96.7669,354.5540,0.0000,0.0000,Pass
D26-05,60,1442,-6.6021,125.3810,20.9147,91.6104,343.5530,0.0000,0.0000,Pass
D26-05,60,1443,-6.4800,125.3810,19.6916,94.6914,304.5470,0.0000,0.0000,Pass
D26-05,60,1444,-6.4022,125.3810,19.7401,92.8748,306.0470,0.0000,0.0000,Pass
D26-05,60,1445,-6.2799,125.3820,20.1629,95.9105,319.2990,0.0000,0.0000,Pass
D26-05,60,1446,-6.2020,125.3820,20.2967,96.6583,323.5500,0.0000,0.0000,Pass
D26-05,60,1447,-6.0797,125.3830,21.0286,93.3421,347.3030,0.0000,0.0000,Pass
D26-05,60,1448,-6.0018,125.3830,21.6624,96.9308,368.5570,0.0000,0.0000,Pass
D26-05,60,1449,-5.4441,125.3850,20.5616,92.6752,332.0510,0.0000,0.0000,Pass
D26-05,60,1519,-6.8610,125.3750,19.5944,91.6042,301.5460,0.0000,0.0000,Pass
D26-05,60,1520,-5.6632,125.3800,19.9486,90.8144,312.5480,0.0000,0.0000,Pass
D26-05,60,1522,-6.9657,125.3720,19.3245,94.3996,293.2950,0.0000,0.0000,Pass
D26-05,60,1523,-6.7560,125.3730,21.2844,97.6872,355.8050,0.0000,0.0000,Pass
D26-05,60,1524,-5.7683,125.3760,20.4374,94.7466,328.0500,0.0000,0.0000,Pass
D26-05,60,1525,-5.5580,125.3770,20.1313,92.1203,318.2990,0.0000,0.0000,Pass
D26-05,60,1543,-7.1920,125.3480,19.9247,93.4597,311.7980,0.0000,0.0000,Pass
D26-05,60,1544,-6.6408,125.3420,20.9983,93.0863,346.3030,0.0000,0.0000,Pass
D26-05,60,1545,-6.4408,125.3420,19.6269,96.0652,302.5460,0.0000,0.0000,Pass
D26-05,60,1546,-6.2409,125.3430,19.0841,93.9231,286.0440,0.0000,0.0000,Pass
D26-05,60,1547,-6.0404,125.3440,21.7577,91.4968,371.8070,0.0000,0.0000,Pass
D26-05,60,1588,-6.5409,125.3200,21.0588,92.5935,348.3030,0.0000,0.0000,Pass
D26-05,60,1599,-5.9404,125.3220,21.8162,92.9237,373.8070,0.0000,0.0000,Pass
D26-05,60,1626,-6.9654,125.3000,19.1174,91.3827,287.0440,0.0000,0.0000,Pass
D26-05,60,1627,-6.7559,125.3010,21.0890,95.6786,349.3040,0.0000,0.0000,Pass
D26-05,60,1628,-5.7681,125.3040,20.4530,97.0532,328.5500,0.0000,0.0000,Pass
D26-05,60,1629,-5.5577,125.3050,19.8847,92.3581,310.5480,0.0000,0.0000,Pass
D26-05,60,1646,-6.5796,125.2810,20.6543,94.2230,335.0510,0.0000,0.0000,Pass
D26-05,60,1647,-6.5018,125.2810,20.0838,97.2056,316.7990,0.0000,0.0000,Pass
D26-05,60,1648,-6.3795,125.2810,19.4803,92.3718,298.0460,0.0000,0.0000,Pass
D26-05,60,1649,-6.3015,125.2820,18.5940,95.3173,271.5420,0.0000,0.0000,Pass
D26-05,60,1650,-6.1793,125.2820,20.7543,96.4013,338.3020,0.0000,0.0000,Pass
D26-05,60,1651,-6.1018,125.2830,20.8385,95.2196,341.0520,0.0000,0.0000,Pass
D26-05,60,1652,-5.9794,125.2830,21.3217,96.1728,357.0550,0.0000,0.0000,Pass
D26-05,60,1653,-5.9013,125.2830,21.6404,93.5517,367.8060,0.0000,0.0000,Pass
D26-05,60,1717,-7.2308,125.2760,19.4231,94.4502,296.2950,0.0000,0.0000,Pass
D26-05,60,1733,-6.8605,125.2430,20.2732,94.4036,322.8000,0.0000,0.0000,Pass
D26-05,60,1734,-5.6624,125.2470,19.4312,91.3607,296.5460,0.0000,0.0000,Pass
D26-05,60,1736,-6.5405,125.2420,20.9375,90.6147,344.3030,0.0000,0.0000,Pass
D26-05,60,1737,-6.3407,125.2430,18.6965,95.5350,274.5420,0.0000,0.0000,Pass
D26-05,60,1738,-6.1406,125.2440,20.5306,93.2432,331.0510,0.0000,0.0000,Pass
D26-05,60,1783,-6.9653,125.2220,20.0918,98.2344,317.0490,0.0000,0.0000,Pass
D26-05,60,1784,-6.7556,125.2230,21.4779,96.9509,362.3060,0.0000,0.0000,Pass
D26-05,60,1785,-5.7678,125.2270,20.5229,94.6773,330.8010,0.0000,0.0000,Pass
D26-05,60,1786,-5.5574,125.2270,19.5619,94.9793,300.5460,0.0000,0.0000,Pass
D26-05,60,1788,-6.6404,125.2200,21.2619,91.7601,355.0550,0.0000,0.0000,Pass
D26-05,60,1789,-6.4404,125.2200,20.2339,98.5114,321.5490,0.0000,0.0000,Pass
D26-05,60,1790,-6.2403,125.2210,19.9566,95.8094,312.7980,0.0000,0.0000,Pass
D26-05,60,1791,-6.0402,125.2220,21.1569,94.7705,351.5540,0.0000,0.0000,Pass
D26-05,60,1838,-6.6791,125.1810,21.6330,97.4795,367.5560,0.0000,0.0000,Pass
D26-05,60,1839,-6.6015,125.1810,21.2844,93.7562,355.8050,0.0000,0.0000,Pass
D26-05,60,1840,-6.4792,125.1810,20.8995,95.5729,343.0530,0.0000,0.0000,Pass
D26-05,60,1841,-6.4014,125.1810,20.1234,95.5476,318.0490,0.0000,0.0000,Pass
D26-05,60,1842,-6.2791,125.1820,20.3359,96.9161,324.8000,0.0000,0.0000,Pass
D26-05,60,1843,-6.2016,125.1830,20.3202,97.6961,324.3000,0.0000,0.0000,Pass
D26-05,60,1844,-6.0791,125.1830,20.8155,95.3675,340.3020,0.0000,0.0000,Pass
D26-05,60,1845,-6.0011,125.1830,21.2095,94.3703,353.3040,0.0000,0.0000,Pass
D26-05,60,1846,-5.4434,125.1850,20.0838,96.9409,316.7990,0.0000,0.0000,Pass
D26-05,60,1916,-7.2302,125.1660,19.7723,95.7042,307.0470,0.0000,0.0000,Pass
D26-05,60,1917,-6.8600,125.1640,19.7884,91.6789,307.5470,0.0000,0.0000,Pass
D26-05,60,1918,-5.6624,125.1690,20.0203,95.5318,314.7980,0.0000,0.0000,Pass
D26-05,60,1933,-6.6401,125.1420,21.4631,94.2469,361.8060,0.0000,0.0000,Pass
D26-05,60,1934,-6.2402,125.1440,20.0600,92.9592,316.0480,0.0000,0.0000,Pass
D26-05,60,1935,-6.0398,125.1440,20.8766,94.8863,342.3030,0.0000,0.0000,Pass
D26-05,60,1936,-5.4044,125.1460,20.8461,93.5770,341.3020,0.0000,0.0000,Pass
D26-05,60,1946,-6.4399,125.1420,20.6312,94.0139,334.3010,0.0000,0.0000,Pass
D26-05,60,1979,-6.5400,125.1200,20.9831,94.6697,345.8030,0.0000,0.0000,Pass
D26-05,60,1980,-6.1400,125.1220,20.9223,93.9378,343.8030,0.0000,0.0000,Pass
D26-05,60,2035,-6.5789,125.0810,21.6404,92.1986,367.8060,0.0000,0.0000,Pass
D26-05,60,2036,-6.5010,125.0810,21.3665,93.7505,358.5550,0.0000,0.0000,Pass
D26-05,60,2037,-6.3788,125.0820,21.1117,96.6274,350.0540,0.0000,0.0000,Pass
D26-05,60,2038,-6.3012,125.0820,19.6916,90.5235,304.5470,0.0000,0.0000,Pass
D26-05,60,2039,-6.1791,125.0820,20.6389,95.8785,334.5510,0.0000,0.0000,Pass
D26-05,60,2040,-6.1010,125.0830,21.0890,91.7235,349.3040,0.0000,0.0000,Pass
D26-05,60,2041,-5.9787,125.0830,21.5741,94.7193,365.5560,0.0000,0.0000,Pass
D26-05,60,2042,-5.9006,125.0840,21.7431,93.5275,371.3070,0.0000,0.0000,Pass
D26-05,60,2108,-7.2302,125.0560,20.1392,91.0098,318.5490,0.0000,0.0000,Pass
D26-05,60,2114,-6.5398,125.0420,21.4853,94.3406,362.5560,0.0000,0.0000,Pass
D26-05,60,2115,-6.3399,125.0430,20.1155,91.7504,317.7990,0.0000,0.0000,Pass
D26-05,60,2116,-6.1398,125.0440,21.2320,94.5011,354.0540,0.0000,0.0000,Pass
D26-05,60,2117,-5.9397,125.0440,21.9834,96.4268,379.5580,0.0000,0.0000,Pass
D26-05,60,2158,-7.0397,125.0180,20.2181,95.3132,321.0490,0.0000,0.0000,Pass
D26-05,60,2159,-6.8398,125.0190,20.1945,92.0839,320.2990,0.0000,0.0000,Pass
D26-05,60,2160,-6.4397,125.0200,21.1869,96.9996,352.5540,0.0000,0.0000,Pass
D26-05,60,2161,-6.0396,125.0220,21.9689,94.5877,379.0580,0.0000,0.0000,Pass
D26-05,60,2162,-5.6390,125.0230,20.6003,91.4478,333.3010,0.0000,0.0000,Pass
D26-05,60,2196,-7.1908,124.9850,20.0838,92.4508,316.7990,0.0000,0.0000,Pass
D26-05,60,2197,-7.0783,124.9790,19.9007,90.1882,311.0480,0.0000,0.0000,Pass
D26-05,60,2198,-7.0005,124.9790,19.8446,91.9510,309.2970,0.0000,0.0000,Pass
D26-05,60,2199,-6.8786,124.9800,20.0203,91.5176,314.7980,0.0000,0.0000,Pass
D26-05,60,2200,-6.8005,124.9800,19.9726,91.2216,313.2980,0.0000,0.0000,Pass
D26-05,60,2201,-6.6784,124.9800,21.4037,92.4528,359.8050,0.0000,0.0000,Pass
D26-05,60,2202,-6.6006,124.9810,22.0268,95.9149,381.0590,0.0000,0.0000,Pass
D26-05,60,2203,-6.4785,124.9810,21.3292,94.1376,357.3050,0.0000,0.0000,Pass
