Centre_X,Centre_Y,VoidNumberTotal
-2.1749,141.4435,0.0000
144.0650,5.0442,0.0000
-15.9253,5.0909,0.0000
-143.9175,-2.6661,0.0000
11.4979,-10.5007,0.0000
2.3193,-139.0670,0.0000
