Centre_X,Centre_Y,Diameter_Stdev
-6.3334,125.2650,1.0400
6.5932,12.2976,0.7760
-135.6860,-3.8292,0.6670
-6.3432,-3.8398,0.7360
135.9370,-3.8531,0.6930
6.5805,-132.9470,0.7310
