 , ,X[mm]
 , ,-150,-149,-148,-147,-146,-145,-144,-143,-142,-141,-140,-139,-138,-137,-136,-135,-134,-133,-132,-131,-130,-129,-128,-127,-126,-125,-124,-123,-122,-121,-120,-119,-118,-117,-116,-115,-114,-113,-112,-111,-110,-109,-108,-107,-106,-105,-104,-103,-102,-101,-100,-99,-98,-97,-96,-95,-94,-93,-92,-91,-90,-89,-88,-87,-86,-85,-84,-83,-82,-81,-80,-79,-78,-77,-76,-75,-74,-73,-72,-71,-70,-69,-68,-67,-66,-65,-64,-63,-62,-61,-60,-59,-58,-57,-56,-55,-54,-53,-52,-51,-50,-49,-48,-47,-46,-45,-44,-43,-42,-41,-40,-39,-38,-37,-36,-35,-34,-33,-32,-31,-30,-29,-28,-27,-26,-25,-24,-23,-22,-21,-20,-19,-18,-17,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,
Y[mm],150,14.3169,14.411,14.5057,14.6013,14.6975,14.7945,14.8923,14.9909,15.0903,15.1906,15.2917,15.3938,15.4967,15.6007,15.7056,15.8115,15.9185,16.0265,16.1356,16.2459,16.3574,16.4701,16.5841,16.6993,16.8159,16.9339,17.0533,17.1742,17.2965,17.4205,17.546,17.6733,17.8022,17.9329,18.0655,18.1999,18.3363,18.4748,18.6153,18.7579,18.9028,19.0501,19.1997,19.3517,19.5063,19.6635,19.8235,19.9863,20.1521,20.3208,20.4928,20.668,20.8465,21.0286,21.2143,21.4038,21.5973,21.7948,21.9966,22.2028,22.4137,22.6293,22.85,23.0758,23.3072,23.5442,23.7872,24.0364,24.2922,24.5547,24.8244,25.1015,25.3866,25.6798,25.9817,26.2926,26.6131,26.9435,27.2846,27.6367,28.0005,28.3766,28.7656,29.1684,29.5855,30.0179,30.4663,30.9317,31.415,31.9173,32.4395,32.983,33.5488,34.1384,34.753,35.3941,36.0633,36.7622,37.4926,38.2563,39.0551,39.8913,40.7669,41.6841,42.6454,43.6532,44.7102,45.8188,46.9819,48.2024,49.4829,50.8265,52.2359,53.7138,55.2631,56.886,58.5848,60.3612,62.2165,64.1514,66.1656,68.258,70.426,72.6658,74.9717,77.3363,79.7497,82.1996,84.6711,87.1465,89.605,92.0234,94.3756,96.6336,98.7675,100.747,102.541,104.121,105.459,106.532,107.321,107.811,107.994,107.869,107.439,106.714,105.71,104.446,102.946,101.237,99.3448,97.2997,95.1298,92.863,90.5257,88.1424,85.7353,83.3246,80.9275,78.559,76.2317,73.9559,71.7397,69.5896,67.5103,65.5049,63.5755,61.723,59.9475,58.2483,56.6242,55.0736,53.5945,52.1845,50.8411,49.5619,48.3442,47.1852,46.0823,45.0329,44.0343,43.0841,42.1798,41.319,40.4995,39.7192,38.9758,38.2675,37.5923,36.9485,36.3345,35.7484,35.1889,34.6545,34.1439,33.6557,33.1887,32.7417,32.3137,31.9037,31.5105,31.1334,30.7715,30.4238,30.0897,29.7683,29.459,29.1611,28.874,28.5971,28.3298,28.0715,27.8217,27.58,27.3459,27.119,26.8988,26.6849,26.477,26.2747,26.0777,25.8855,25.698,25.5149,25.3357,25.1604,24.9886,24.82,24.6546,24.492,24.332,24.1745,24.0193,23.8662,23.715,23.5656,23.4178,23.2716,23.1267,22.9831,22.8406,22.6992,22.5588,22.4192,22.2805,22.1424,22.005,21.8682,21.732,21.5962,21.4609,21.326,21.1915,21.0573,20.9235,20.79,20.6568,20.5239,20.3912,20.2589,20.1268,19.995,19.8635,19.7323,19.6013,19.4707,19.3404,19.2105,19.0809,18.9517,18.8229,18.6945,18.5666,18.4391,18.312,18.1855,18.0594,17.9339,17.809,17.6846,17.5608,17.4376,17.315,17.1931,17.0719,16.9513,16.8314,16.7123,16.5938,16.4761,16.3591,16.2429,16.1275,16.0129,15.899,15.7859,15.6737,15.5622,15.4516,15.3418,15.2328,
 ,149,14.4406,14.5358,14.6317,14.7284,14.8258,14.924,15.023,15.1228,15.2234,15.3248,15.4272,15.5305,15.6347,15.7398,15.846,15.9532,16.0615,16.1708,16.2813,16.3929,16.5058,16.6198,16.7352,16.8518,16.9698,17.0893,17.2101,17.3325,17.4564,17.5819,17.709,17.8378,17.9684,18.1008,18.2351,18.3712,18.5094,18.6496,18.792,18.9366,19.0834,19.2326,19.3842,19.5383,19.695,19.8544,20.0165,20.1816,20.3497,20.5208,20.6952,20.8729,21.054,21.2387,21.4271,21.6194,21.8157,22.0162,22.221,22.4304,22.6444,22.8634,23.0875,23.317,23.552,23.7928,24.0398,24.2931,24.5531,24.8201,25.0944,25.3764,25.6664,25.9649,26.2722,26.5889,26.9155,27.2523,27.6,27.9592,28.3304,28.7144,29.1118,29.5233,29.9499,30.3922,30.8513,31.328,31.8234,32.3386,32.8748,33.4331,34.015,34.6217,35.2549,35.916,36.6068,37.3291,38.0847,38.8758,39.7045,40.5729,41.4837,42.4392,43.4422,44.4955,45.6021,46.765,47.9874,49.2727,50.6242,52.0454,53.5399,55.1111,56.7624,58.4971,60.3182,62.2283,64.2298,66.3241,68.512,70.793,73.1656,75.6265,78.1704,80.7899,83.4749,86.2124,88.9861,91.7764,94.5598,97.3093,99.9945,102.582,105.036,107.32,109.396,111.228,112.782,114.029,114.945,115.512,115.72,115.567,115.058,114.206,113.03,111.556,109.811,107.83,105.645,103.292,100.804,98.2159,95.5579,92.8586,90.1437,87.4358,84.7543,82.1157,79.5334,77.0183,74.5786,72.2205,69.9484,67.7648,65.6711,63.6675,61.7533,59.9269,58.1864,56.5292,54.9526,53.4536,52.0289,50.6753,49.3897,48.1687,47.0092,45.9081,44.8622,43.8688,42.925,42.028,41.1754,40.3648,39.5937,38.8599,38.1614,37.4963,36.8626,36.2586,35.6826,35.133,34.6084,34.1074,33.6286,33.1708,32.7328,32.3136,31.912,31.5271,31.158,30.8037,30.4635,30.1365,29.822,29.5194,29.2278,28.9468,28.6757,28.4139,28.1608,27.9161,27.6792,27.4496,27.2269,27.0108,26.8007,26.5963,26.3973,26.2033,26.014,25.8291,25.6483,25.4713,25.298,25.1279,24.9609,24.7968,24.6354,24.4764,24.3197,24.165,24.0123,23.8614,23.712,23.5642,23.4177,23.2724,23.1282,22.9851,22.8429,22.7015,22.5608,22.4208,22.2815,22.1427,22.0044,21.8665,21.729,21.5919,21.4551,21.3187,21.1825,21.0466,20.911,20.7756,20.6405,20.5056,20.371,20.2366,20.1025,19.9686,19.8351,19.7018,19.5688,19.4362,19.3039,19.172,19.0405,18.9094,18.7787,18.6485,18.5187,18.3895,18.2608,18.1326,18.005,17.8779,17.7515,17.6257,17.5006,17.3761,17.2523,17.1292,17.0068,16.8852,16.7643,16.6442,16.5248,16.4063,16.2885,16.1716,16.0555,15.9402,15.8257,15.7121,15.5994,15.4875,15.3764,
 ,148,14.566,14.6624,14.7595,14.8573,14.9559,15.0553,15.1555,15.2565,15.3583,15.461,15.5646,15.6691,15.7745,15.881,15.9884,16.0969,16.2064,16.3171,16.4289,16.5419,16.6561,16.7715,16.8882,17.0063,17.1258,17.2467,17.369,17.4929,17.6183,17.7454,17.8741,18.0045,18.1368,18.2708,18.4068,18.5447,18.6847,18.8267,18.9709,19.1174,19.2661,19.4173,19.5709,19.7271,19.8859,20.0475,20.2119,20.3792,20.5496,20.7231,20.8999,21.0801,21.2638,21.4512,21.6423,21.8374,22.0366,22.24,22.4479,22.6604,22.8776,23.1,23.3275,23.5605,23.7992,24.0438,24.2947,24.5521,24.8164,25.0878,25.3667,25.6534,25.9485,26.2522,26.565,26.8874,27.2199,27.5631,27.9174,28.2836,28.6622,29.0539,29.4596,29.8799,30.3158,30.768,31.2376,31.7256,32.233,32.7611,33.3111,33.8843,34.4821,35.106,35.7577,36.4389,37.1513,37.8971,38.6782,39.4969,40.3555,41.2567,42.2031,43.1974,44.2429,45.3426,46.4999,47.7185,49.0019,50.354,51.779,53.281,54.8641,56.5328,58.2912,60.1437,62.0944,64.1469,66.3046,68.5703,70.9458,73.4319,76.0281,78.732,81.5392,84.4426,87.4322,90.4944,93.6117,96.7624,99.9201,103.054,106.128,109.103,111.936,114.581,116.993,119.126,120.94,122.396,123.464,124.123,124.36,124.172,123.567,122.561,121.178,119.45,117.413,115.108,112.575,109.859,107,104.037,101.008,97.9447,94.8776,91.8319,88.8291,85.8871,83.0203,80.2396,77.5532,74.967,72.4845,70.1076,67.8367,65.6708,63.6083,61.6466,59.7826,58.013,56.334,54.7417,53.2321,51.8014,50.4455,49.1605,47.9427,46.7884,45.6942,44.6566,43.6726,42.7389,41.8528,41.0115,40.2124,39.4531,38.7312,38.0447,37.3914,36.7694,36.177,35.6123,35.0739,34.5602,34.0698,33.6013,33.1535,32.7253,32.3155,31.923,31.5468,31.1861,30.84,30.5076,30.1881,29.8808,29.585,29.3001,29.0253,28.7602,28.5041,28.2565,28.0169,27.7848,27.5598,27.3414,27.1293,26.923,26.7221,26.5264,26.3354,26.1489,25.9666,25.7881,25.6133,25.4418,25.2734,25.1078,24.945,24.7845,24.6264,24.4703,24.3161,24.1636,24.0127,23.8633,23.7152,23.5683,23.4224,23.2775,23.1335,22.9903,22.8477,22.7058,22.5644,22.4236,22.2832,22.1431,22.0034,21.8641,21.725,21.5862,21.4476,21.3093,21.1712,21.0332,20.8955,20.758,20.6208,20.4837,20.3469,20.2103,20.074,19.938,19.8022,19.6668,19.5317,19.397,19.2627,19.1287,18.9952,18.8622,18.7297,18.5976,18.4661,18.3351,18.2047,18.075,17.9458,17.8173,17.6895,17.5624,17.4359,17.3102,17.1853,17.0611,16.9377,16.8151,16.6933,16.5723,16.4522,16.3328,16.2144,16.0968,15.9801,15.8643,15.7493,15.6353,15.5221,
 ,147,14.6932,14.7907,14.889,14.9881,15.0879,15.1884,15.2898,15.392,15.4951,15.599,15.7038,15.8096,15.9163,16.024,16.1327,16.2425,16.3534,16.4654,16.5785,16.6928,16.8084,16.9252,17.0434,17.1629,17.2838,17.4062,17.53,17.6554,17.7824,17.911,18.0413,18.1734,18.3073,18.443,18.5807,18.7204,18.8621,19.006,19.1521,19.3004,19.4512,19.6043,19.7599,19.9182,20.0792,20.2429,20.4095,20.5792,20.7519,20.9278,21.1071,21.2898,21.4761,21.6661,21.8599,22.0578,22.2599,22.4663,22.6772,22.8928,23.1133,23.339,23.5699,23.8065,24.0488,24.2973,24.5521,24.8136,25.082,25.3578,25.6413,25.9328,26.2328,26.5416,26.8599,27.1879,27.5264,27.8758,28.2367,28.6098,28.9957,29.3951,29.809,30.238,30.683,31.145,31.6251,32.1242,32.6436,33.1845,33.7482,34.3361,34.9498,35.5908,36.2609,36.9621,37.6962,38.4654,39.272,40.1184,41.0072,41.9413,42.9236,43.9573,45.0458,46.1927,47.4018,48.6771,50.023,51.4439,52.9446,54.5299,56.2051,57.9754,59.846,61.8223,63.9096,66.1129,68.4371,70.8863,73.4639,76.1722,79.0121,81.9826,85.0805,88.2995,91.6301,95.0584,98.5661,102.129,105.719,109.299,112.828,116.259,119.54,122.616,125.431,127.927,130.053,131.761,133.014,133.783,134.054,133.822,133.098,131.904,130.269,128.235,125.847,123.155,120.211,117.066,113.77,110.37,106.911,103.429,99.9588,96.5291,93.1635,89.8813,86.6971,83.6222,80.6643,77.8284,75.1171,72.531,70.0692,67.7295,65.509,63.4037,61.4094,59.5216,57.7353,56.0458,54.4481,52.9374,51.5089,50.1581,48.8805,47.6719,46.5284,45.4459,44.4211,43.4503,42.5304,41.6582,40.831,40.0461,39.3008,38.5929,37.9201,37.2803,36.6715,36.092,35.5399,35.0137,34.5119,34.0329,33.5756,33.1385,32.7206,32.3208,31.9379,31.571,31.2191,30.8815,30.5572,30.2455,29.9457,29.657,29.3788,29.1105,28.8514,28.6011,28.359,28.1246,27.8975,27.6771,27.463,27.2549,27.0524,26.855,26.6625,26.4745,26.2908,26.1109,25.9347,25.7618,25.5921,25.4252,25.261,25.0992,24.9397,24.7822,24.6266,24.4726,24.3203,24.1693,24.0196,23.871,23.7235,23.5769,23.4311,23.286,23.1415,22.9976,22.8542,22.7113,22.5687,22.4264,22.2845,22.1428,22.0013,21.8601,21.719,21.5782,21.4375,21.2969,21.1566,21.0164,20.8764,20.7365,20.5969,20.4575,20.3184,20.1795,20.0408,19.9025,19.7645,19.6269,19.4896,19.3528,19.2163,19.0804,18.9449,18.8099,18.6755,18.5417,18.4084,18.2758,18.1438,18.0125,17.8819,17.752,17.6229,17.4945,17.3669,17.24,17.114,16.9889,16.8645,16.741,16.6184,16.4967,16.3758,16.2559,16.1368,16.0187,15.9015,15.7852,15.6699,
 ,146,14.8222,14.921,15.0205,15.1207,15.2217,15.3235,15.4261,15.5295,15.6338,15.739,15.8451,15.9521,16.0601,16.1691,16.2791,16.3902,16.5024,16.6157,16.7302,16.8459,16.9628,17.0811,17.2006,17.3216,17.444,17.5678,17.6931,17.8201,17.9486,18.0788,18.2107,18.3444,18.48,18.6175,18.7569,18.8983,19.0419,19.1876,19.3356,19.4858,19.6385,19.7936,19.9514,20.1117,20.2748,20.4407,20.6096,20.7815,20.9566,21.1349,21.3167,21.5019,21.6908,21.8835,22.0801,22.2808,22.4857,22.6951,22.909,23.1278,23.3515,23.5805,23.8149,24.055,24.301,24.5532,24.8119,25.0775,25.3501,25.6303,25.9182,26.2145,26.5193,26.8333,27.1569,27.4906,27.8349,28.1905,28.5579,28.9377,29.3309,29.7379,30.1598,30.5974,31.0515,31.5232,32.0135,32.5237,33.0549,33.6084,34.1856,34.7881,35.4175,36.0755,36.764,37.4849,38.2406,39.0331,39.8652,40.7393,41.6584,42.6255,43.6439,44.7172,45.8491,47.0437,48.3052,49.6384,51.048,52.5392,54.1176,55.7889,57.5592,59.4348,61.4222,63.5279,65.7588,68.1215,70.6223,73.2673,76.0616,79.0097,82.1142,85.3762,88.7941,92.3632,96.0747,99.9153,103.866,107.901,111.988,116.087,120.149,124.118,127.933,131.524,134.822,137.757,140.261,142.275,143.751,144.653,144.963,144.675,143.805,142.379,140.438,138.033,135.222,132.068,128.632,124.98,121.172,117.262,113.303,109.339,105.408,101.542,97.7677,94.1041,90.567,87.1669,83.9108,80.8023,77.8427,75.0309,72.3644,69.8393,67.4509,65.194,63.0626,61.051,59.1529,57.3624,55.6734,54.0802,52.5771,51.1588,49.8202,48.5564,47.3627,46.2349,45.1688,44.1606,43.2067,42.3037,41.4484,40.6379,39.8693,39.1402,38.448,37.7906,37.1657,36.5715,36.006,35.4676,34.9545,34.4654,33.9987,33.5531,33.1274,32.7204,32.331,31.9581,31.6008,31.2582,30.9293,30.6134,30.3097,30.0175,29.7361,29.4648,29.2031,28.9503,28.7059,28.4693,28.2401,28.0179,27.8021,27.5924,27.3883,27.1895,26.9956,26.8062,26.6212,26.44,26.2625,26.0884,25.9174,25.7493,25.5838,25.4208,25.2599,25.1011,24.9441,24.7888,24.6349,24.4824,24.3312,24.181,24.0318,23.8834,23.7358,23.5888,23.4424,23.2965,23.1511,23.006,22.8612,22.7167,22.5724,22.4284,22.2845,22.1407,21.9971,21.8536,21.7103,21.567,21.4239,21.2809,21.138,20.9953,20.8528,20.7105,20.5683,20.4265,20.2848,20.1435,20.0025,19.8618,19.7215,19.5816,19.4421,19.3031,19.1646,19.0266,18.8892,18.7524,18.6162,18.4806,18.3457,18.2115,18.078,17.9452,17.8133,17.6821,17.5517,17.4221,17.2934,17.1656,17.0386,16.9126,16.7874,16.6631,16.5398,16.4174,16.296,16.1755,16.056,15.9374,15.8198,
 ,145,14.9531,15.0531,15.1538,15.2553,15.3575,15.4605,15.5643,15.669,15.7745,15.881,15.9883,16.0966,16.2059,16.3162,16.4275,16.5399,16.6534,16.7681,16.884,17.001,17.1194,17.239,17.36,17.4824,17.6063,17.7316,17.8585,17.9869,18.117,18.2489,18.3824,18.5178,18.655,18.7942,18.9354,19.0786,19.224,19.3715,19.5214,19.6736,19.8282,19.9854,20.1452,20.3076,20.4729,20.641,20.8122,20.9864,21.1638,21.3446,21.5288,21.7166,21.9081,22.1034,22.3028,22.5063,22.7141,22.9264,23.1434,23.3653,23.5923,23.8246,24.0624,24.306,24.5557,24.8117,25.0743,25.3438,25.6207,25.9051,26.1976,26.4985,26.8082,27.1273,27.4561,27.7954,28.1455,28.5071,28.8809,29.2675,29.6677,30.0823,30.5121,30.958,31.4211,31.9023,32.4028,32.9237,33.4665,34.0324,34.623,35.2399,35.8848,36.5595,37.2661,38.0068,38.7837,39.5995,40.4568,41.3585,42.3077,43.3078,44.3624,45.4754,46.6509,47.8936,49.2081,50.5997,52.0739,53.6368,55.2945,57.0539,58.922,60.9063,63.0146,65.2551,67.6362,70.1662,72.8536,75.7064,78.7323,81.938,85.3288,88.9082,92.6771,96.6329,100.769,105.072,109.525,114.099,118.76,123.461,128.148,132.753,137.203,141.412,145.294,148.759,151.724,154.111,155.858,156.921,157.275,156.916,155.863,154.153,151.837,148.982,145.66,141.95,137.93,133.677,129.265,124.76,120.222,115.703,111.245,106.885,102.649,98.5594,94.6305,90.8719,87.2892,83.8843,80.6563,77.6019,74.7166,71.9944,69.4287,67.0121,64.7372,62.5965,60.5823,58.6873,56.9043,55.2264,53.6471,52.16,50.7593,49.4395,48.1952,47.0216,45.9141,44.8684,43.8804,42.9466,42.0633,41.2274,40.4358,39.6856,38.9744,38.2996,37.6589,37.0503,36.4717,35.9213,35.3974,34.8983,34.4226,33.9688,33.5355,33.1217,32.726,32.3474,31.9849,31.6376,31.3044,30.9846,30.6773,30.3818,30.0974,29.8234,29.5591,29.304,29.0575,28.819,28.588,28.3641,28.1467,27.9355,27.73,27.5299,27.3347,27.1442,26.958,26.7757,26.597,26.4218,26.2497,26.0804,25.9137,25.7495,25.5874,25.4273,25.269,25.1123,24.957,24.8031,24.6503,24.4985,24.3476,24.1975,24.048,23.8992,23.7509,23.603,23.4554,23.3081,23.1611,23.0143,22.8676,22.7211,22.5747,22.4283,22.2821,22.1359,21.9898,21.8437,21.6977,21.5518,21.406,21.2603,21.1148,20.9694,20.8242,20.6792,20.5344,20.39,20.2458,20.102,19.9585,19.8154,19.6728,19.5306,19.389,19.2479,19.1073,18.9674,18.8281,18.6894,18.5515,18.4142,18.2778,18.142,18.0071,17.8731,17.7398,17.6074,17.476,17.3454,17.2157,17.0869,16.9591,16.8323,16.7064,16.5815,16.4576,16.3347,16.2128,16.0919,15.972,
 ,144,15.0859,15.1872,15.2891,15.3918,15.4953,15.5995,15.7046,15.8105,15.9173,16.025,16.1337,16.2432,16.3538,16.4654,16.5781,16.6918,16.8067,16.9227,17.0399,17.1584,17.2781,17.3992,17.5217,17.6455,17.7709,17.8977,18.0261,18.1561,18.2878,18.4212,18.5564,18.6934,18.8324,18.9732,19.1162,19.2612,19.4084,19.5579,19.7096,19.8638,20.0204,20.1796,20.3414,20.506,20.6735,20.8438,21.0172,21.1938,21.3736,21.5568,21.7435,21.9339,22.128,22.326,22.5281,22.7344,22.9452,23.1605,23.3805,23.6056,23.8358,24.0714,24.3126,24.5597,24.813,25.0727,25.3392,25.6128,25.8937,26.1825,26.4794,26.7849,27.0994,27.4235,27.7576,28.1022,28.4581,28.8257,29.2057,29.5989,30.0061,30.428,30.8656,31.3198,31.7916,32.2821,32.7925,33.3241,33.8783,34.4564,35.0601,35.6911,36.3512,37.0424,37.7669,38.5268,39.3248,40.1635,41.0458,41.9748,42.9539,43.9868,45.0774,46.2299,47.4491,48.7399,50.1077,51.5582,53.0977,54.733,56.4714,58.3205,60.2885,62.3845,64.6176,66.9976,69.5347,72.2396,75.1228,78.1951,81.4669,84.948,88.6468,92.5702,96.7224,101.104,105.711,110.532,115.551,120.74,126.061,131.462,136.881,142.239,147.446,152.398,156.986,161.097,164.624,167.467,169.546,170.803,171.208,170.758,169.477,167.414,164.639,161.234,157.294,152.916,148.197,143.233,138.111,132.911,127.702,122.544,117.485,112.565,107.812,103.247,98.8846,94.7324,90.7935,87.0674,83.5504,80.2365,77.1185,74.1879,71.4354,68.8517,66.4272,64.1526,62.0184,60.0159,58.1365,56.3722,54.7152,53.1583,51.6949,50.3185,49.0233,47.8038,46.6549,45.5718,44.55,43.5856,42.6746,41.8135,40.9992,40.2284,39.4984,38.8066,38.1505,37.5279,36.9365,36.3746,35.8401,35.3315,34.847,34.3853,33.9449,33.5245,33.1229,32.7389,32.3715,32.0197,31.6825,31.359,31.0484,30.7499,30.4627,30.1862,29.9196,29.6624,29.414,29.1738,28.9412,28.7158,28.4971,28.2846,28.0779,27.8766,27.6804,27.4888,27.3015,27.1182,26.9385,26.7623,26.5891,26.4188,26.2511,26.0857,25.9225,25.7612,25.6016,25.4436,25.287,25.1316,24.9772,24.8239,24.6713,24.5195,24.3682,24.2175,24.0672,23.9172,23.7675,23.618,23.4687,23.3195,23.1704,23.0214,22.8723,22.7233,22.5743,22.4253,22.2763,22.1274,21.9784,21.8295,21.6806,21.5318,21.3831,21.2345,21.0861,20.9379,20.7899,20.6421,20.4947,20.3476,20.2008,20.0544,19.9085,19.763,19.6181,19.4737,19.3299,19.1868,19.0442,18.9024,18.7613,18.6209,18.4814,18.3426,18.2046,18.0676,17.9314,17.7961,17.6617,17.5282,17.3957,17.2642,17.1337,17.0042,16.8757,16.7482,16.6218,16.4963,16.372,16.2486,16.1264,
 ,143,15.2208,15.3232,15.4264,15.5303,15.6351,15.7406,15.8469,15.9541,16.0622,16.1712,16.2811,16.392,16.5039,16.6168,16.7308,16.8459,16.9621,17.0795,17.1981,17.318,17.4391,17.5616,17.6855,17.8109,17.9377,18.0661,18.196,18.3276,18.4609,18.5959,18.7327,18.8714,19.0121,19.1547,19.2994,19.4463,19.5953,19.7466,19.9003,20.0564,20.2151,20.3763,20.5403,20.707,20.8766,21.0492,21.2249,21.4038,21.586,21.7717,21.9609,22.1538,22.3506,22.5513,22.7562,22.9653,23.1789,23.3972,23.6204,23.8485,24.082,24.3209,24.5655,24.8162,25.0731,25.3365,25.6068,25.8844,26.1694,26.4624,26.7637,27.0738,27.3931,27.7221,28.0613,28.4113,28.7727,29.1462,29.5324,29.9321,30.346,30.7751,31.2203,31.6826,32.1629,32.6626,33.1827,33.7247,34.2899,34.8799,35.4965,36.1413,36.8163,37.5236,38.2655,39.0445,39.8631,40.7243,41.6312,42.5871,43.5957,44.6609,45.7872,46.9791,48.2416,49.5804,51.0013,52.5108,54.1159,55.8242,57.6439,59.5838,61.6536,63.8634,66.2242,68.7477,71.4461,74.3324,77.4201,80.7228,84.2543,88.0279,92.0562,96.3502,100.919,105.766,110.893,116.292,121.948,127.835,133.913,140.126,146.402,152.65,158.76,164.606,170.051,174.951,179.166,182.569,185.054,186.548,187.01,186.441,184.873,182.373,179.032,174.958,170.268,165.087,159.535,153.727,147.77,141.758,135.773,129.883,124.14,118.588,113.255,108.163,103.323,98.7398,94.4142,90.3417,86.5152,82.9251,79.5609,76.4109,73.463,70.7053,68.1258,65.713,63.4556,61.3432,59.3655,57.5133,55.7777,54.1505,52.6239,51.1909,49.8448,48.5795,47.3893,46.2691,45.2139,44.2192,43.2809,42.3952,41.5585,40.7676,40.0194,39.311,38.6399,38.0037,37.4,36.8269,36.2823,35.7645,35.2717,34.8025,34.3553,33.9287,33.5215,33.1325,32.7605,32.4046,32.0636,31.7368,31.4231,31.1218,30.8322,30.5534,30.2848,30.0258,29.7757,29.534,29.3,29.0733,28.8534,28.6399,28.4322,28.2299,28.0327,27.8402,27.652,27.4679,27.2874,27.1102,26.9361,26.7649,26.5962,26.4298,26.2655,26.103,25.9423,25.783,25.6251,25.4683,25.3125,25.1576,25.0034,24.8498,24.6967,24.5441,24.3918,24.2397,24.0878,23.9361,23.7844,23.6328,23.4811,23.3295,23.1777,23.026,22.8741,22.7222,22.5703,22.4183,22.2662,22.1142,21.9621,21.8101,21.6581,21.5062,21.3544,21.2028,21.0514,20.9003,20.7494,20.5988,20.4486,20.2988,20.1494,20.0006,19.8522,19.7044,19.5572,19.4107,19.2648,19.1197,18.9753,18.8317,18.6889,18.5469,18.4058,18.2656,18.1264,17.988,17.8507,17.7143,17.5789,17.4446,17.3112,17.1789,17.0477,16.9176,16.7885,16.6605,16.5336,16.4077,16.283,
 ,142,15.3576,15.4613,15.5658,15.671,15.777,15.8838,15.9914,16.0999,16.2093,16.3195,16.4308,16.543,16.6562,16.7704,16.8857,17.0022,17.1198,17.2385,17.3586,17.4798,17.6024,17.7264,17.8518,17.9786,18.1069,18.2368,18.3683,18.5014,18.6363,18.773,18.9115,19.0519,19.1942,19.3386,19.4851,19.6338,19.7847,19.9379,20.0936,20.2517,20.4123,20.5757,20.7417,20.9106,21.0824,21.2573,21.4353,21.6165,21.8012,21.9893,22.181,22.3765,22.5759,22.7794,22.987,23.199,23.4156,23.6368,23.863,24.0943,24.331,24.5732,24.8213,25.0754,25.3359,25.6031,25.8772,26.1587,26.4478,26.745,27.0506,27.3652,27.6891,28.023,28.3673,28.7225,29.0894,29.4686,29.8609,30.2669,30.6875,31.1236,31.5762,32.0463,32.535,33.0435,33.5731,34.1251,34.7011,35.3028,35.9318,36.59,37.2795,38.0025,38.7615,39.5589,40.3977,41.2809,42.2118,43.1941,44.2317,45.3288,46.4901,47.7208,49.0262,50.4124,51.886,53.4542,55.1247,56.906,58.8073,60.8388,63.0112,65.3363,67.827,70.497,73.3609,76.4343,79.7338,83.2765,87.0801,91.1623,95.5406,100.231,105.248,110.603,116.3,122.339,128.708,135.384,142.327,149.478,156.756,164.055,171.243,178.166,184.651,190.515,195.576,199.668,202.652,204.432,204.959,204.234,202.306,199.263,195.224,190.331,184.734,178.587,172.04,165.235,158.298,151.342,144.461,137.732,131.214,124.951,118.972,113.296,107.932,102.881,98.1379,93.6942,89.538,85.6557,82.0326,78.6532,75.5022,72.5644,69.8253,67.2708,64.8876,62.6633,60.5862,58.6453,56.8307,55.1328,53.5432,52.0537,50.657,49.3463,48.1154,46.9585,45.8704,44.846,43.8811,42.9713,42.1129,41.3023,40.5364,39.812,39.1265,38.4772,37.8617,37.2779,36.7236,36.1971,35.6965,35.2201,34.7665,34.3341,33.9217,33.528,33.1519,32.7921,32.4478,32.1179,31.8015,31.4978,31.2059,30.9252,30.6549,30.3943,30.1428,29.8997,29.6646,29.4369,29.216,29.0016,28.7931,28.59,28.3921,28.1989,28.01,27.8251,27.6439,27.4659,27.2911,27.119,26.9494,26.7821,26.6169,26.4534,26.2915,26.1311,25.9718,25.8137,25.6564,25.5,25.3441,25.1888,25.0339,24.8794,24.725,24.5708,24.4167,24.2626,24.1086,23.9544,23.8002,23.6458,23.4913,23.3367,23.1819,23.027,22.872,22.7168,22.5615,22.4062,22.2508,22.0954,21.94,21.7846,21.6294,21.4742,21.3193,21.1645,21.0101,20.8559,20.7021,20.5487,20.3958,20.2434,20.0914,19.9401,19.7894,19.6393,19.49,19.3414,19.1936,19.0466,18.9005,18.7552,18.6108,18.4674,18.3249,18.1835,18.043,17.9036,17.7652,17.6279,17.4917,17.3565,17.2225,17.0896,16.9578,16.8272,16.6976,16.5692,16.442,
