Centre_X,Centre_Y,Diameter_Avg
-6.3264,125.2235,25.5780
6.6024,12.2573,25.6980
-135.6765,-3.8749,25.5200
-6.3336,-3.8804,25.6490
135.9460,-3.8885,25.6130
6.5939,-132.9880,25.7930
