Centre_X,Centre_Y,Diameter_Stdev
-6.3284,125.2905,0.6690
6.5978,12.3247,0.6670
-135.6820,-3.8043,0.6660
-6.3389,-3.8127,0.6830
135.9410,-3.8239,0.6910
6.5854,-132.9205,0.7080
