Centre_X,Centre_Y,VoidNumberTotal
-6.3284,125.2905,0.0000
6.5978,12.3247,0.0000
-135.6820,-3.8043,0.0000
-6.3389,-3.8127,1.0000
135.9410,-3.8239,0.0000
6.5854,-132.9205,1.0000
