Centre_X,Centre_Y,Diameter_Min
-6.3284,125.2905,19.4201
6.5978,12.3247,19.4516
-135.6820,-3.8043,19.5143
-6.3389,-3.8127,19.4830
135.9410,-3.8239,19.3149
6.5854,-132.9205,18.9367
