Centre_X,Centre_Y,Roundness_Min
-6.3294,125.2755,83.0761
6.5977,12.3093,82.6811
-135.6805,-3.8193,71.7055
-6.3377,-3.8284,81.9607
135.9415,-3.8393,84.0212
6.5882,-132.9365,83.5287
