Centre_X,Centre_Y,Diameter_Max
-6.3294,125.2755,24.6138
6.5977,12.3093,24.8006
-135.6805,-3.8193,24.7942
-6.3377,-3.8284,24.9797
135.9415,-3.8393,25.1321
6.5882,-132.9365,25.2837
