Recipe,Lot,Wafer,MAX Area Void,MAX Diameter Void,Total NG,DieId,BumpId,Area Percent,Diameter Percent
RF4,d26_0,126173086.17,16.78,40.96,161.00,228,2413,10.79,32.85
RF4,d26_0,126173086.17,16.78,40.96,161.00,228,2496,13.36,36.55
RF4,d26_0,126173086.17,16.78,40.96,161.00,228,2497,9.89,31.45
RF4,d26_0,126173086.17,16.78,40.96,161.00,228,2498,12.04,34.70
RF4,d26_0,126173086.17,16.78,40.96,161.00,228,2499,11.38,33.73
RF4,d26_0,126173086.17,16.78,40.96,161.00,228,2579,8.04,28.35
RF4,d26_0,126173086.17,16.78,40.96,161.00,228,2581,12.12,34.81
RF4,d26_0,126173086.17,16.78,40.96,161.00,228,2586,10.71,32.73
RF4,d26_0,126173086.17,16.78,40.96,161.00,228,2587,13.05,36.12
RF4,d26_0,126173086.17,16.78,40.96,161.00,228,2665,9.22,30.37
RF4,d26_0,126173086.17,16.78,40.96,161.00,228,2688,9.58,30.95
RF4,d26_0,126173086.17,16.78,40.96,161.00,228,2689,8.72,29.53
RF4,d26_0,126173086.17,16.78,40.96,161.00,228,2690,8.76,29.60
RF4,d26_0,126173086.17,16.78,40.96,161.00,228,2691,8.85,29.74
RF4,d26_0,126173086.17,16.78,40.96,161.00,228,2693,13.06,36.14
RF4,d26_0,126173086.17,16.78,40.96,161.00,228,2694,13.77,37.11
RF4,d26_0,126173086.17,16.78,40.96,161.00,228,2757,8.96,29.93
RF4,d26_0,126173086.17,16.78,40.96,161.00,228,2769,8.50,29.15
RF4,d26_0,126173086.17,16.78,40.96,161.00,228,2774,10.03,31.67
RF4,d26_0,126173086.17,16.78,40.96,161.00,228,2860,9.65,31.06
RF4,d26_0,126173086.17,16.78,40.96,161.00,228,2861,8.16,28.57
RF4,d26_0,126173086.17,16.78,40.96,161.00,228,2919,12.40,35.21
RF4,d26_0,126173086.17,16.78,40.96,161.00,228,2920,10.52,32.44
RF4,d26_0,126173086.17,16.78,40.96,161.00,228,2939,9.79,31.29
RF4,d26_0,126173086.17,16.78,40.96,161.00,228,2940,8.91,29.86
RF4,d26_0,126173086.17,16.78,40.96,161.00,228,2942,8.52,29.18
RF4,d26_0,126173086.17,16.78,40.96,161.00,228,2944,12.35,35.14
RF4,d26_0,126173086.17,16.78,40.96,161.00,228,2947,8.73,29.54
RF4,d26_0,126173086.17,16.78,40.96,161.00,228,2949,8.72,29.52
RF4,d26_0,126173086.17,16.78,40.96,161.00,228,2953,12.23,34.97
RF4,d26_0,126173086.17,16.78,40.96,161.00,228,3025,11.61,34.07
RF4,d26_0,126173086.17,16.78,40.96,161.00,228,3026,9.77,31.25
RF4,d26_0,126173086.17,16.78,40.96,161.00,228,3054,12.74,35.70
RF4,d26_0,126173086.17,16.78,40.96,161.00,228,3055,8.57,29.27
RF4,d26_0,126173086.17,16.78,40.96,161.00,228,3058,8.37,28.94
RF4,d26_0,126173086.17,16.78,40.96,161.00,228,3118,10.11,31.79
RF4,d26_0,126173086.17,16.78,40.96,161.00,228,3136,9.19,30.32
RF4,d26_0,126173086.17,16.78,40.96,161.00,228,3141,8.42,29.01
RF4,d26_0,126173086.17,16.78,40.96,161.00,228,3211,8.13,28.51
RF4,d26_0,126173086.17,16.78,40.96,161.00,228,3214,9.11,30.18
RF4,d26_0,126173086.17,16.78,40.96,161.00,228,3219,8.17,28.58
RF4,d26_0,126173086.17,16.78,40.96,161.00,228,3225,10.57,32.52
RF4,d26_0,126173086.17,16.78,40.96,161.00,228,3303,8.33,28.87
RF4,d26_0,126173086.17,16.78,40.96,161.00,228,3309,8.36,28.91
RF4,d26_0,126173086.17,16.78,40.96,161.00,228,3310,16.78,40.96
RF4,d26_0,126173086.17,16.78,40.96,161.00,228,3312,11.22,33.49
RF4,d26_0,126173086.17,16.78,40.96,161.00,228,3389,8.40,28.98
RF4,d26_0,126173086.17,16.78,40.96,161.00,228,3406,10.99,33.15
RF4,d26_0,126173086.17,16.78,40.96,161.00,228,3415,8.63,29.37
RF4,d26_0,126173086.17,16.78,40.96,161.00,228,3418,11.64,34.12
RF4,d26_0,126173086.17,16.78,40.96,161.00,228,3484,12.78,35.75
RF4,d26_0,126173086.17,16.78,40.96,161.00,228,3485,8.83,29.71
RF4,d26_0,126173086.17,16.78,40.96,161.00,228,3486,12.52,35.39
RF4,d26_0,126173086.17,16.78,40.96,161.00,228,3508,9.45,30.74
RF4,d26_0,126173086.17,16.78,40.96,161.00,228,3511,12.27,35.03
RF4,d26_0,126173086.17,16.78,40.96,161.00,228,3566,9.45,30.75
RF4,d26_0,126173086.17,16.78,40.96,161.00,228,3592,8.96,29.93
RF4,d26_0,126173086.17,16.78,40.96,161.00,228,3676,9.11,30.19
RF4,d26_0,126173086.17,16.78,40.96,161.00,228,3679,9.45,30.75
RF4,d26_0,126173086.17,16.78,40.96,161.00,228,3681,8.60,29.33
RF4,d26_0,126173086.17,16.78,40.96,161.00,228,3682,11.24,33.52
RF4,d26_0,126173086.17,16.78,40.96,161.00,228,3782,15.05,38.79
RF4,d26_0,126173086.17,16.78,40.96,161.00,228,3784,10.74,32.77
RF4,d26_0,126173086.17,16.78,40.96,161.00,228,3787,8.59,29.30
RF4,d26_0,126173086.17,16.78,40.96,161.00,228,3790,13.06,36.13
RF4,d26_0,126173086.17,16.78,40.96,161.00,228,3791,9.96,31.56
RF4,d26_0,126173086.17,16.78,40.96,161.00,228,3933,8.88,29.80
RF4,d26_0,126173086.17,16.78,40.96,161.00,228,3956,9.92,31.49
RF4,d26_0,126173086.17,16.78,40.96,161.00,228,3959,8.80,29.67
RF4,d26_0,126173086.17,16.78,40.96,161.00,228,4040,8.35,28.90
RF4,d26_0,126173086.17,16.78,40.96,161.00,228,4046,8.69,29.48
RF4,d26_0,126173086.17,16.78,40.96,161.00,228,4048,12.25,35.00
RF4,d26_0,126173086.17,16.78,40.96,161.00,228,4050,10.47,32.35
RF4,d26_0,126173086.17,16.78,40.96,161.00,228,4053,12.43,35.25
RF4,d26_0,126173086.17,16.78,40.96,161.00,228,4156,8.25,28.73
RF4,d26_0,126173086.17,16.78,40.96,161.00,228,4158,9.30,30.50
RF4,d26_0,126173086.17,16.78,40.96,161.00,228,4159,10.50,32.41
RF4,d26_0,126173086.17,16.78,40.96,161.00,228,4242,10.39,32.23
RF4,d26_0,126173086.17,16.78,40.96,161.00,228,4294,14.05,37.48
RF4,d26_0,126173086.17,16.78,40.96,161.00,228,4324,10.29,32.08
RF4,d26_0,126173086.17,16.78,40.96,161.00,228,4326,8.17,28.59
RF4,d26_0,126173086.17,16.78,40.96,161.00,228,4413,9.43,30.71
RF4,d26_0,126173086.17,16.78,40.96,161.00,228,4416,10.87,32.97
RF4,d26_0,126173086.17,16.78,40.96,161.00,228,4454,9.37,30.61
RF4,d26_0,126173086.17,16.78,40.96,161.00,228,4523,9.39,30.65
RF4,d26_0,126173086.17,16.78,40.96,161.00,228,4596,8.54,29.22
RF4,d26_0,126173086.17,16.78,40.96,161.00,228,4794,8.92,29.86
RF4,d26_0,126173086.17,16.78,40.96,161.00,228,4966,13.12,36.22
RF4,d26_0,126173086.17,16.78,40.96,161.00,228,4991,11.12,33.35
RF4,d26_0,126173086.17,16.78,40.96,161.00,228,5062,13.06,36.13
RF4,d26_0,126173086.17,16.78,40.96,161.00,228,5334,8.11,28.48
RF4,d26_0,126173086.17,16.78,40.96,161.00,228,5430,8.11,28.49
RF4,d26_0,126173086.17,16.78,40.96,161.00,228,5698,8.59,29.31
