Centre_X,Centre_Y,Diameter_Min
-6.3211,125.2445,24.4190
6.6045,12.2778,24.5036
-135.6740,-3.8505,24.4059
-6.3315,-3.8594,24.5101
135.9480,-3.8714,24.3733
6.5923,-132.9680,24.4646
