Centre_X,Centre_Y,Diameter_Max
-6.3181,125.2455,26.0710
6.6068,12.2790,26.3322
-135.6710,-3.8491,26.1015
-6.3294,-3.8580,26.0649
135.9500,-3.8702,26.2535
6.5941,-132.9660,26.1928
