Centre_X,Centre_Y,Diameter_Avg
-6.3181,125.2455,25.5820
6.6068,12.2790,25.7420
-135.6710,-3.8491,25.5760
-6.3294,-3.8580,25.4520
135.9500,-3.8702,25.6160
6.5941,-132.9660,25.7470
