Centre_X,Centre_Y,Roundness_Min
-6.3181,125.2455,91.3415
6.6068,12.2790,91.5918
-135.6710,-3.8491,91.0098
-6.3294,-3.8580,92.2587
135.9500,-3.8702,91.4764
6.5941,-132.9660,90.8206
