Centre_X,Centre_Y,LargestVoidArea
-2.2164,141.4685,0.0000
144.0260,5.0707,37.1128
-15.9651,5.1151,6.3988
-143.9575,-2.6447,0.0000
11.4581,-10.4771,0.0000
2.2817,-139.0435,0.0000
