Centre_X,Centre_Y,Diameter_Avg
-6.3236,125.2755,20.5060
6.5977,12.3102,20.4530
-135.6815,-3.8136,20.5670
-6.3394,-3.8270,20.6050
135.9395,-3.8439,20.5170
6.5800,-132.9340,20.5420
