Centre_X,Centre_Y,Diameter_Max
-6.3271,125.2355,26.4348
6.6030,12.2695,26.4408
-135.6755,-3.8650,26.2838
-6.3324,-3.8685,26.2110
135.9470,-3.8744,26.2232
6.5965,-132.9755,26.1685
