Centre_X,Centre_Y,VoidNumberTotal
-6.3326,125.2595,1214.0000
6.5941,12.2928,676.0000
-135.6855,-3.8357,882.0000
-6.3426,-3.8446,880.0000
135.9380,-3.8574,526.0000
6.5821,-132.9520,498.0000
