Centre_X,Centre_Y,Diameter_Max
-6.3372,125.2535,29.2604
6.5878,12.2878,29.0298
-135.6900,-3.8418,24.8365
-6.3479,-3.8508,25.8654
135.9325,-3.8629,25.3615
6.5763,-132.9585,24.6190
