Centre_X,Centre_Y,DieId
-6.39972,125.2425,60
-58.14005,60.69565,152
71.1967,60.6832,162
-6.41244,12.27478,229
-135.749,12.28872,239
6.51958,-3.86509,253
135.865,-3.873815,263
71.1889,-52.28365,319
-58.15445,-52.2744,329
6.508375,-132.9705,445
