Centre_X,Centre_Y,Diameter_Min
-6.3997,125.2425,16.7355
-58.1401,60.6957,16.1155
71.1967,60.6832,22.8744
-6.4124,12.2748,23.1510
-135.7490,12.2887,14.8834
6.5196,-3.8651,22.9300
135.8650,-3.8738,22.7907
71.1889,-52.2837,22.8465
-58.1545,-52.2744,23.1510
6.5084,-132.9705,22.8744
