Centre_X,Centre_Y,VoidNumberTotal
-6.3266,125.2810,2.0000
6.5962,12.3149,6.0000
-135.6840,-3.8101,7.0000
-6.3407,-3.8225,6.0000
135.9390,-3.8376,7.0000
6.5803,-132.9300,9.0000
