Centre_X,Centre_Y,Diameter_Stdev
-6.3266,125.2810,0.1250
6.5962,12.3149,0.1220
-135.6840,-3.8101,0.1310
-6.3407,-3.8225,0.1280
135.9390,-3.8376,0.1260
6.5803,-132.9300,0.1360
