Centre_X,Centre_Y,VoidNumberTotal
-2.1723,141.4460,0.0000
144.0680,5.0458,1.0000
-15.9231,5.0936,0.0000
-143.9165,-2.6623,0.0000
11.4993,-10.4985,0.0000
2.3200,-139.0635,0.0000
