Centre_X,Centre_Y,Diameter_Stdev
-6.4006,125.2355,0.3560
-6.4150,12.2694,0.3760
-135.7500,12.2837,0.5940
6.5178,-3.8699,0.3680
135.8650,-3.8821,0.7350
6.5065,-132.9755,0.3390
