Centre_X,Centre_Y,Diameter_Min
-2.2417,141.8310,77.6728
144.0015,5.4333,76.0515
-15.9900,5.4781,77.6543
-143.9825,-2.2821,78.6987
11.4334,-10.1142,77.3586
2.2579,-138.6800,77.5251
