Centre_X,Centre_Y,VoidNumberTotal
-6.3208,125.2420,0.0000
6.6033,12.2760,0.0000
-135.6745,-3.8497,0.0000
-6.3332,-3.8615,0.0000
135.9460,-3.8764,0.0000
6.5893,-132.9690,0.0000
