Centre_X,Centre_Y,Diameter_Stdev
-6.3167,125.2845,0.3710
6.6068,12.3183,0.3730
-135.6730,-3.8085,0.3510
-6.3299,-3.8195,0.3770
135.9500,-3.8335,0.3560
6.5917,-132.9270,0.3840
