Centre_X,Centre_Y,LargestVoidDiameterPercent
-6.3167,125.2845,0.0000
6.6068,12.3183,0.0000
-135.6730,-3.8085,0.0000
-6.3299,-3.8195,0.0000
135.9500,-3.8335,0.0000
6.5917,-132.9270,0.0000
