Centre_X,Centre_Y,Roundness_Min
-6.3152,125.2290,91.1618
6.6065,12.2628,91.6412
-135.6725,-3.8609,90.8503
-6.3300,-3.8749,91.7241
135.9495,-3.8924,91.2199
6.5897,-132.9820,91.1959
