Centre_X,Centre_Y,Diameter_Stdev
-6.3152,125.2290,0.1490
6.6065,12.2628,0.1380
-135.6725,-3.8609,0.1280
-6.3300,-3.8749,0.1400
135.9495,-3.8924,0.1320
6.5897,-132.9820,0.1560
