Centre_X,Centre_Y,Diameter_Max
-6.3204,125.2795,25.7268
6.6027,12.3126,26.0771
-135.6765,-3.8117,25.6896
-6.3337,-3.8247,26.0465
135.9465,-3.8409,26.0527
6.5873,-132.9320,25.9608
