Centre_X,Centre_Y,Diameter_Avg
-6.3147,125.2350,19.6290
6.6083,12.2679,19.7490
-135.6720,-3.8575,19.3600
-6.3285,-3.8692,19.8020
135.9515,-3.8861,18.9490
6.5924,-132.9770,19.7740
