Centre_X,Centre_Y,Diameter_Avg
-2.2265,141.8475,83.4560
144.0085,5.4429,85.0960
-15.9827,5.4963,83.1890
-143.9760,-2.2565,84.4650
11.4400,-10.0969,82.9350
2.2569,-138.6625,83.3270
